收寄城市,寄达城市,委办_40t,委办_20t,委办_12t,自办_40t,自办_20t,自办_12t,邮路总条数,邮路总长度,城市间距离,车辆成本,大小边标记
唐山,阿克苏,,,,,,,,,,,
唐山,喀什,,,,,,,,,,,
廊坊,北京,0.0,1.0,0.0,0.0,1.0,0.0,2.0,88.0,44.0,698.9399999999999,大
廊坊,天津,0.0,0.0,0.0,1.0,0.0,0.0,1.0,91.0,91.0,753.8439999999999,大
廊坊,石家庄,0.0,0.0,0.0,1.0,0.0,0.0,1.0,300.0,300.0,2485.2,小
廊坊,唐山,0.0,0.0,0.0,0.0,0.0,1.0,1.0,169.0,169.0,953.8360000000001,大
廊坊,廊坊,,,,,,,,,,,
廊坊,保定,0.0,0.0,0.0,1.0,0.0,0.0,1.0,152.0,152.0,1259.1679999999997,大
廊坊,太原,0.0,1.0,0.0,0.0,0.0,0.0,1.0,507.0,507.0,5907.564,
廊坊,侯马,,,,,,,,,,,
廊坊,呼和浩特,,,,,,,,,,,
廊坊,包头,,,,,,,,,,,
廊坊,沈阳,0.0,0.0,0.0,0.0,0.0,1.0,1.0,705.0,705.0,4975.89,小
廊坊,大连,,,,,,,,,,,
廊坊,锦州,,,,,,,,,,,
廊坊,长春,,,,,,,,,,,
廊坊,哈尔滨,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1255.0,1255.0,8857.79,小
廊坊,上海,,,,,,,,,,,
廊坊,南京,,,,,,,,,,,
廊坊,常州,,,,,,,,,,,
廊坊,无锡,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1075.0,1075.0,8350.6,大
廊坊,苏州,,,,,,,,,,,
廊坊,徐州,,,,,,,,,,,
廊坊,连云港,,,,,,,,,,,
廊坊,淮安,,,,,,,,,,,
廊坊,盐城,,,,,,,,,,,
廊坊,扬州,,,,,,,,,,,
廊坊,南通,,,,,,,,,,,
廊坊,杭州,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1252.0,1252.0,9725.536,小
廊坊,湖州,,,,,,,,,,,
廊坊,嘉兴,,,,,,,,,,,
廊坊,宁波,,,,,,,,,,,
廊坊,台州,,,,,,,,,,,
廊坊,金华,,,,,,,,,,,
廊坊,义乌,,,,,,,,,,,
廊坊,温州,,,,,,,,,,,
廊坊,合肥,,,,,,,,,,,
廊坊,蚌埠,,,,,,,,,,,
廊坊,芜湖,,,,,,,,,,,
廊坊,安庆,,,,,,,,,,,
廊坊,福州,,,,,,,,,,,
廊坊,厦门,,,,,,,,,,,
廊坊,泉州,,,,,,,,,,,
廊坊,南昌,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1402.0,1402.0,9895.316,大
廊坊,鹰潭,,,,,,,,,,,
廊坊,赣州,,,,,,,,,,,
廊坊,济南,0.0,0.0,0.0,1.0,0.0,0.0,1.0,370.0,370.0,3065.08,小
廊坊,潍坊,,,,,,,,,,,
廊坊,烟台,,,,,,,,,,,
廊坊,青岛,,,,,,,,,,,
廊坊,济宁,,,,,,,,,,,
廊坊,临沂,,,,,,,,,,,
廊坊,郑州,0.0,0.0,0.0,1.0,0.0,0.0,1.0,683.0,683.0,6623.733999999999,小
廊坊,漯河,,,,,,,,,,,
廊坊,信阳,,,,,,,,,,,
廊坊,洛阳,,,,,,,,,,,
廊坊,武汉,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1130.0,1130.0,8777.839999999998,小
廊坊,荆州,,,,,,,,,,,
廊坊,襄阳,,,,,,,,,,,
廊坊,长沙,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1476.0,1476.0,10417.608,大
廊坊,常德,,,,,,,,,,,
廊坊,衡阳,,,,,,,,,,,
廊坊,广州,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2106.0,2106.0,22296.222,
廊坊,汕头,,,,,,,,,,,
廊坊,深圳,,,,,,,,,,,
廊坊,东莞,,,,,,,,,,,
廊坊,湛江,,,,,,,,,,,
廊坊,中山,,,,,,,,,,,
廊坊,南宁,,,,,,,,,,,
廊坊,柳州,,,,,,,,,,,
廊坊,海口,,,,,,,,,,,
廊坊,重庆,,,,,,,,,,,
廊坊,成都,,,,,,,,,,,
廊坊,南充,,,,,,,,,,,
廊坊,内江,,,,,,,,,,,
廊坊,贵阳,,,,,,,,,,,
廊坊,昆明,,,,,,,,,,,
廊坊,大理州,,,,,,,,,,,
廊坊,拉萨,,,,,,,,,,,
廊坊,西安,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2168.0,1084.0,24107.076,
廊坊,宝鸡,,,,,,,,,,,
廊坊,兰州,,,,,,,,,,,
廊坊,西宁,,,,,,,,,,,
廊坊,银川,,,,,,,,,,,
廊坊,乌鲁木齐,,,,,,,,,,,
廊坊,阿克苏,,,,,,,,,,,
廊坊,喀什,,,,,,,,,,,
保定,北京,1.0,1.0,0.0,0.0,1.0,0.0,3.0,504.0,168.0,4756.248,大
保定,天津,,,,,,,,,,,
保定,石家庄,0.0,0.0,0.0,1.0,1.0,0.0,2.0,338.0,169.0,2473.8219999999997,小
保定,唐山,0.0,0.0,0.0,0.0,0.0,1.0,1.0,294.0,294.0,1659.3360000000002,小
保定,廊坊,0.0,0.0,0.0,1.0,0.0,0.0,1.0,155.0,155.0,1284.02,小
保定,保定,,,,,,,,,,,
保定,太原,0.0,0.0,1.0,0.0,0.0,0.0,1.0,366.0,366.0,3098.556,
保定,侯马,,,,,,,,,,,
保定,呼和浩特,,,,,,,,,,,
保定,包头,,,,,,,,,,,
保定,沈阳,,,,,,,,,,,
保定,大连,,,,,,,,,,,
保定,锦州,,,,,,,,,,,
保定,长春,,,,,,,,,,,
保定,哈尔滨,,,,,,,,,,,
保定,上海,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1177.0,1177.0,12460.899000000001,
保定,南京,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1880.0,940.0,23625.96,
保定,常州,,,,,,,,,,,
保定,无锡,,,,,,,,,,,
保定,苏州,,,,,,,,,,,
保定,徐州,,,,,,,,,,,
保定,连云港,,,,,,,,,,,
保定,淮安,,,,,,,,,,,
保定,盐城,,,,,,,,,,,
保定,扬州,,,,,,,,,,,
保定,南通,,,,,,,,,,,
保定,杭州,,,,,,,,,,,
保定,湖州,,,,,,,,,,,
保定,嘉兴,,,,,,,,,,,
保定,宁波,,,,,,,,,,,
保定,台州,,,,,,,,,,,
保定,金华,,,,,,,,,,,
保定,义乌,,,,,,,,,,,
保定,温州,,,,,,,,,,,
保定,合肥,,,,,,,,,,,
保定,蚌埠,,,,,,,,,,,
保定,芜湖,,,,,,,,,,,
保定,安庆,,,,,,,,,,,
保定,福州,,,,,,,,,,,
保定,厦门,,,,,,,,,,,
保定,泉州,,,,,,,,,,,
保定,南昌,,,,,,,,,,,
保定,鹰潭,,,,,,,,,,,
保定,赣州,,,,,,,,,,,
保定,济南,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1098.0,366.0,11134.818,
保定,潍坊,,,,,,,,,,,
保定,烟台,,,,,,,,,,,
保定,青岛,,,,,,,,,,,
保定,济宁,,,,,,,,,,,
保定,临沂,,,,,,,,,,,
保定,郑州,1.0,2.0,2.0,0.0,0.0,0.0,5.0,2705.0,541.0,31932.525,
保定,漯河,,,,,,,,,,,
