收寄城市,寄达城市,经转次数,路线,总距离,流量_集包,流量_大件,总流量,加权距离,加权经转次数
嘉兴,汕头,1,嘉兴-上海-汕头,1381.0,74,217,291,0.08406613233369906,6.0873376056262896e-05
嘉兴,成都,0,嘉兴-成都,1911.0,194,571,765,0.3058134074133731,0.0
嘉兴,海口,1,嘉兴-上海-海口,2151.0,47,145,192,0.08639249939597295,4.016387698557552e-05
嘉兴,兰州,1,嘉兴-上海-兰州,2114.0,79,236,315,0.1392996214763781,6.589386067945983e-05
嘉兴,大理州,1,嘉兴-上海-大理州,2752.0,26,77,103,0.05929527038970466,2.1546246507886867e-05
宁波,石家庄,0,宁波-石家庄,1323.0,175,1419,1594,0.4411462184768477,0.0
宁波,南昌,0,宁波-南昌,669.0,185,1441,1626,0.2275522104252455,0.0
宁波,福州,0,宁波-福州,572.0,190,1510,1700,0.20341330198319602,0.0
宁波,襄阳,1,宁波-上海-襄阳,1304.0,46,353,399,0.10883908614628646,8.346555686064913e-05
宁波,昆明,0,宁波-昆明,2272.0,146,1169,1315,0.6249833957930431,0.0
宁波,大理州,1,宁波-上海-大理州,2870.0,34,263,297,0.17830878699861832,6.212849721206213e-05
台州,锦州,1,台州-上海-锦州,1902.0,52,179,231,0.09190875687571058,4.832216449827055e-05
台州,徐州,0,台州-徐州,878.0,198,717,915,0.16805444715573858,0.0
台州,合肥,0,台州-合肥,699.0,274,1006,1280,0.18716366675278193,0.0
台州,信阳,1,台州-上海-信阳,1158.0,180,647,827,0.2003311427982717,0.00017299753264099455
台州,汕头,1,台州-上海-汕头,1648.0,185,666,851,0.2933736924513876,0.0001780180172641915
台州,成都,0,台州-成都,1999.0,417,1478,1895,0.7924217876481435,0.0
台州,银川,1,台州-上海-银川,2337.0,79,287,366,0.17892630660727155,7.656239050375333e-05
金华,长春,0,金华-长春,2314.0,388,2860,3248,1.5722216585798514,0.0
金华,洛阳,0,金华-洛阳,1197.0,223,1656,1879,0.47049534402347915,0.0
金华,广州,0,金华-广州,1121.0,1166,8965,10131,2.375703992226616,0.0
金华,柳州,0,金华-柳州,1365.0,183,1326,1509,0.43087995498298787,0.0
金华,西安,0,金华-西安,1391.0,662,5023,5685,1.6542151675116072,0.0
金华,兰州,0,金华-兰州,2013.0,252,1908,2160,0.9095611991845897,0.0
金华,鹰潭,1,金华-上海-鹰潭,951.0,83,593,676,0.13448121135926483,0.0001414103168867138
温州,侯马,1,温州-上海-侯马,1680.0,85,324,409,0.1437364747621284,8.555742545364785e-05
温州,合肥,0,温州-合肥,705.0,184,773,957,0.14113523616673448,0.0
温州,洛阳,1,温州-上海-洛阳,1484.0,88,338,426,0.1322445854596306,8.911360206174569e-05
温州,广州,0,温州-广州,1188.0,542,2237,2779,0.6906203750092826,0.0
温州,柳州,1,温州-上海-柳州,2135.0,78,302,380,0.16971329894998655,7.949100653395155e-05
南昌,天津,0,南昌-天津,1350.0,145,1738,1883,0.5317634556832409,0.0
南昌,西安,0,南昌-西安,1110.0,232,2648,2880,0.6687285518098324,0.0
鹰潭,郑州,1,鹰潭-武汉-郑州,1041.0,32,308,340,0.07403959698059687,7.112353216195665e-05
福州,济南,0,福州-济南,1512.0,121,1370,1491,0.4715891821107582,0.0
福州,湛江,1,福州-上海-湛江,2628.0,39,446,485,0.26662538712643147,0.00010145562676043816
泉州,哈尔滨,0,泉州-哈尔滨,3150.0,47,1496,1543,1.0167422702840654,0.0
泉州,呼和浩特,1,泉州-广州-呼和浩特,3039.0,29,842,871,0.5537111317741242,0.00018220175445018895
泉州,石家庄,0,泉州-石家庄,1840.0,45,1249,1294,0.49806554451862445,0.0
泉州,南京,1,泉州-广州-南京,2068.0,38,1139,1177,0.5091683462628245,0.00024621293339594993
泉州,济南,0,泉州-济南,1641.0,76,2267,2343,0.8042948154082857,0.0
泉州,武汉,0,泉州-武汉,968.0,71,2291,2362,0.4782881820929773,0.0
泉州,信阳,1,泉州-广州-信阳,1884.0,30,771,801,0.3156805423796888,0.00016755867429919788
泉州,南充,1,泉州-广州-南充,2211.0,22,622,644,0.2978578219673397,0.0001347163373891179
厦门,汕头,0,厦门-汕头,247.0,43,1336,1379,0.07125176370670747,0.0
重庆,广州,0,重庆-广州,1298.0,121,4622,4743,1.2878409092097653,0.0
重庆,呼和浩特,0,重庆-呼和浩特,1680.0,61,2236,2297,0.807243722563836,0.0
重庆,侯马,1,重庆-西安-侯马,1031.0,19,638,657,0.14169627532337672,0.00013743576656001624
重庆,徐州,0,重庆-徐州,1450.0,23,769,792,0.24023018921997358,0.0
重庆,南昌,0,重庆-南昌,1210.0,47,1647,1694,0.42877867298132066,0.0
重庆,襄阳,1,重庆-成都-襄阳,1344.0,12,439,451,0.12679735964346192,9.43432735442425e-05
重庆,昆明,0,重庆-昆明,837.0,95,3773,3868,0.677245803973086,0.0
重庆,西安,0,重庆-西安,710.0,76,2841,2917,0.4332406286901869,0.0
长沙,侯马,0,长沙-侯马,1038.0,78,1108,1186,0.2575232485045754,0.0
长沙,天津,0,长沙-天津,1475.0,168,2558,2726,0.8411089832158923,0.0
长沙,长春,0,长沙-长春,2420.0,113,1798,1911,0.9674097332553764,0.0
长沙,常州,0,长沙-常州,1011.0,77,1079,1156,0.2444800294535098,0.0
长沙,青岛,0,长沙-青岛,1542.0,117,1733,1850,0.5967473535247463,0.0
长沙,襄阳,1,长沙-武汉-襄阳,655.0,53,768,821,0.11249127952280294,0.00017174241148519532
常德,杭州,1,常德-武汉-杭州,1135.0,19,349,368,0.08737316739237075,7.698076422235308e-05
