start_trans_hub,end_trans_hub,zb_num,big_num
贵阳,淮安,1,29
海口,锦州,1,12
海口,芜湖,2,18
海口,安庆,1,17
海口,烟台,2,17
海口,大理州,2,17
海口,银川,1,12
成都,宝鸡,7,176
成都,喀什,2,84
南充,锦州,2,42
南充,无锡,4,59
南充,淮安,2,15
南充,安庆,3,37
南充,荆州,2,22
内江,锦州,1,18
内江,长春,2,62
内江,芜湖,1,29
内江,安庆,1,30
内江,潍坊,1,34
内江,嘉兴,1,38
内江,台州,1,37
内江,温州,2,52
内江,衡阳,2,49
内江,深圳,4,140
内江,中山,3,93
内江,南宁,3,129
内江,乌鲁木齐,1,18
昆明,安庆,5,104
大理州,济宁,1,29
大理州,荆州,1,17
大理州,信阳,2,48
大理州,洛阳,2,45
大理州,中山,3,117
宝鸡,保定,1,87
宝鸡,上海,4,814
宝鸡,蚌埠,1,98
宝鸡,嘉兴,1,100
宝鸡,温州,1,175
宝鸡,鹰潭,1,47
宝鸡,武汉,3,559
宝鸡,深圳,3,675
兰州,石家庄,4,119
兰州,大连,2,71
兰州,哈尔滨,6,158
兰州,上海,11,387
兰州,南京,5,169
兰州,合肥,3,88
兰州,芜湖,1,34
兰州,临沂,2,38
兰州,金华,2,66
兰州,赣州,2,32
兰州,湛江,2,53
兰州,贵阳,4,101
兰州,大理州,1,27
银川,大连,2,21
银川,常州,2,22
银川,扬州,1,11
银川,鹰潭,1,6
银川,汕头,3,30
西宁,锦州,1,12
西宁,扬州,1,8
西宁,青岛,1,43
西宁,金华,1,19
西宁,鹰潭,1,6
西宁,常德,1,12
西宁,中山,1,20
西宁,海口,1,15
西宁,成都,5,185
西宁,内江,1,5
西宁,银川,2,41
乌鲁木齐,太原,2,93
乌鲁木齐,石家庄,2,122
乌鲁木齐,南通,1,55
乌鲁木齐,济南,4,216
乌鲁木齐,济宁,1,34
乌鲁木齐,常德,1,34
乌鲁木齐,内江,1,23
乌鲁木齐,西宁,1,57
阿克苏,包头,1,2
阿克苏,侯马,1,10
阿克苏,沈阳,1,26
阿克苏,扬州,1,4
阿克苏,济宁,1,5
阿克苏,宁波,1,12
阿克苏,福州,1,14
阿克苏,中山,1,12
阿克苏,贵阳,1,17
阿克苏,海口,1,6
阿克苏,宝鸡,1,6
阿克苏,拉萨,1,5
喀什,大连,1,3
喀什,徐州,1,10
喀什,扬州,1,1
喀什,烟台,1,2
喀什,荆州,1,2
喀什,郑州,1,16
喀什,漯河,1,8
喀什,深圳,1,9
喀什,湛江,1,1
喀什,柳州,1,3
喀什,阿克苏,1,16
拉萨,廊坊,1,2
拉萨,北京,1,32
拉萨,无锡,1,2
拉萨,蚌埠,1,3
拉萨,宁波,1,3
拉萨,长沙,2,28
拉萨,襄阳,1,3
拉萨,广州,1,37
拉萨,昆明,1,28
拉萨,大理州,1,8
南京,扬州,83,1007
南京,盐城,81,1001
南京,南通,134,1570
苏州,南京,251,1989
连云港,常州,50,314
淮安,常州,51,521
徐州,扬州,54,870
徐州,常州,122,2156
徐州,无锡,110,2006
扬州,无锡,37,399
扬州,南京,72,782
南通,淮安,19,353
南通,连云港,25,528
济南,济宁,157,1637
杭州,台州,326,716
嘉兴,温州,135,391
温州,嘉兴,131,498
泉州,福州,146,4393
郑州,漯河,183,2775
广州,广州,804,9630
石家庄,长春,206,2420
石家庄,侯马,123,1364
石家庄,哈尔滨,269,3152
石家庄,济南,332,3937
石家庄,襄阳,45,484
天津,哈尔滨,67,2224
廊坊,天津,64,615
廊坊,哈尔滨,65,581
廊坊,徐州,17,157
廊坊,济南,57,518
廊坊,福州,28,236
廊坊,漯河,21,156
廊坊,昆明,26,251
廊坊,西安,61,544
保定,中山,36,270
保定,青岛,76,646
保定,兰州,60,490
保定,南昌,52,423
沈阳,徐州,60,429
沈阳,郑州,102,785
沈阳,洛阳,31,217
沈阳,昆明,48,393
长春,天津,43,1221
长春,北京,65,1939
长春,郑州,29,617
南京,沈阳,196,2295
南京,天津,158,1961
南京,襄阳,40,456
扬州,中山,33,345
扬州,贵阳,67,642
无锡,武汉,144,1102
无锡,贵阳,66,476
无锡,北京,171,1371
无锡,郑州,118,915
无锡,洛阳,39,294
无锡,中山,45,332
无锡,湛江,20,148
无锡,南充,31,203
苏州,宁波,123,1029
苏州,石家庄,117,947
苏州,芜湖,57,430
苏州,郑州,159,1246
苏州,银川,48,371
苏州,西宁,23,180
苏州,乌鲁木齐,111,873
徐州,天津,196,3802
徐州,哈尔滨,177,3249
徐州,沈阳,224,4214
徐州,汕头,105,1807
连云港,沈阳,96,650
连云港,芜湖,17,108
连云港,济南,113,756
连云港,杭州,48,353
连云港,福州,51,342
连云港,漯河,39,262
连云港,海口,36,270
连云港,成都,86,590
淮安,杭州,47,507
