收寄城市,寄达城市,经转次数,路线,路线类型,总距离,流量_集包,流量_大件,总流量,加权距离,加权经转次数
武汉,阿克苏,1,武汉-西安-阿克苏,,4062.0,30,512,542,0.4605466261820365,0.00011337927774053089
郑州,合肥,0,郑州-合肥,route_1,598.0,165,2955,3120,0.39029247460733013,0.0
郑州,杭州,0,郑州-杭州,route_1,958.0,184,3413,3597,0.7208424373197725,0.0
郑州,广州,1,郑州-西安-广州,,2119.0,520,9500,10020,4.441534887661427,0.0020960523301847226
郑州,西安,0,郑州-西安,route_0,475.0,379,6948,7327,0.7280382560928288,0.0
郑州,洛阳,0,郑州-洛阳,route_1,124.0,133,2174,2307,0.059841666466195924,0.0
洛阳,天津,2,洛阳-西安-北京-天津,,1588.0,105,1244,1349,0.44812260023449846,0.000564386146391056
洛阳,哈尔滨,2,洛阳-西安-沈阳-哈尔滨,,2712.0,128,1394,1522,0.8634530684051489,0.0006367647997088119
洛阳,合肥,2,洛阳-西安-武汉-合肥,,1494.0,67,685,752,0.23501892618109516,0.00031461703638700826
洛阳,南京,2,洛阳-西安-上海-南京,,2057.0,57,598,655,0.2818447770747937,0.00027403478568283296
洛阳,芜湖,2,洛阳-西安-上海-芜湖,,2115.0,25,248,273,0.12078344662544989,0.00011421602517773039
郑州,襄阳,2,郑州-西安-武汉-襄阳,,1526.0,58,1026,1084,0.34603355566410027,0.00045351711096212357
汕头,锦州,2,汕头-广州-沈阳-锦州,,3426.0,12,82,94,0.06736737291636814,3.932712954837603e-05
汕头,济南,2,汕头-广州-北京-济南,,2963.0,63,487,550,0.3409013652580372,0.00023010554522985975
汕头,南充,2,汕头-广州-成都-南充,,2234.0,29,221,250,0.11683086091897879,0.00010459342964993625
汕头,昆明,2,汕头-广州-成都-昆明,,2850.0,57,419,476,0.28378289332620704,0.0001991458900534786
湛江,武汉,1,湛江-广州-武汉,,1404.0,23,597,620,0.18209297728335302,0.00012969585276592096
中山,汕头,1,中山-广州-汕头,,507.0,81,996,1077,0.11422418346524309,0.0002252942474659627
成都,乌鲁木齐,1,成都-西安-乌鲁木齐,,3408.0,44,1891,1935,1.3794785599158232,0.00040477657274525327
成都,南宁,1,成都-广州-南宁,,2143.0,67,1513,1580,0.7082941543778103,0.00033051523769379854
昆明,中山,2,昆明-成都-广州-中山,,2515.0,25,496,521,0.2741006795435124,0.00021797270739046715
石家庄,唐山,1,石家庄-北京-唐山,,513.0,91,1017,1108,0.11890264757348473,0.00023177904010425872
石家庄,泉州,2,石家庄-北京-广州-泉州,,3160.0,68,793,861,0.5691472393087211,0.00036021977171438044
石家庄,扬州,2,石家庄-北京-上海-扬州,,1809.0,28,321,349,0.13206824093724082,0.000146012427791311
石家庄,包头,1,石家庄-北京-包头,,999.0,36,388,424,0.0886065331148028,8.869522834314594e-05
石家庄,宝鸡,2,石家庄-北京-西安-宝鸡,,1596.0,25,280,305,0.10182797936999194,0.00012760398417292223
天津,泉州,2,天津-北京-广州-泉州,,2956.0,10,290,300,0.18550690682712692,0.0001255121155799235
唐山,廊坊,1,唐山-北京-廊坊,,213.0,9,95,104,0.0046339073072107755,2.175543336718674e-05
唐山,沈阳,1,唐山-北京-沈阳,,856.0,19,256,275,0.04924258667918999,5.752638630746494e-05
唐山,哈尔滨,2,唐山-北京-沈阳-哈尔滨,,1438.0,16,199,215,0.06467430128974158,8.995034949894517e-05
唐山,郑州,2,唐山-北京-西安-郑州,,1745.0,14,170,184,0.06716571678400306,7.698076422235308e-05
唐山,信阳,2,唐山-北京-武汉-信阳,,1532.0,6,75,81,0.02595841574423978,3.388827120657935e-05
唐山,呼和浩特,1,唐山-北京-呼和浩特,,673.0,6,81,87,0.012248099798866834,1.8199256759088908e-05
唐山,锦州,2,唐山-北京-沈阳-锦州,,1090.0,5,53,58,0.01322479324493794,2.426567567878521e-05
唐山,临沂,2,唐山-北京-上海-临沂,,1967.0,5,44,49,0.02016205705989961,2.0500312211387504e-05
唐山,南昌,2,唐山-北京-武汉-南昌,,1673.0,6,74,80,0.027997569248694936,3.34698974879796e-05
北京,长春,1,北京-沈阳-长春,,1012.0,62,1348,1410,0.2984929132721741,0.00029495347161282023
北京,武汉,0,北京-武汉,route_0,1153.0,57,1271,1328,0.320303571970216,0.0
北京,昆明,1,北京-成都-昆明,,2766.0,43,955,998,0.5774536311178005,0.00020876848558127275
廊坊,呼和浩特,1,廊坊-北京-呼和浩特,,551.0,24,214,238,0.02743234635486668,4.978647251336965e-05
廊坊,大连,2,廊坊-北京-沈阳-大连,,1116.0,16,159,175,0.0408541936212651,7.321540075495538e-05
廊坊,嘉兴,2,廊坊-北京-上海-嘉兴,,1362.0,8,68,76,0.021653350179848402,3.179640261358062e-05
廊坊,宝鸡,2,廊坊-北京-西安-宝鸡,,1324.0,5,37,42,0.01163246287194731,1.757169618118929e-05
保定,上海,1,保定-北京-上海,,1382.0,82,725,807,0.233300665318806,0.00016881379545499712
保定,重庆,2,保定-北京-成都-重庆,,2393.0,56,489,545,0.27281836409600424,0.00022801367663686102
保定,蚌埠,2,保定-北京-武汉-蚌埠,,1794.0,29,249,278,0.10432818071234401,0.00011630789377072911
保定,安庆,2,保定-北京-武汉-安庆,,1666.0,15,121,136,0.04739672183272791,5.689882572956532e-05
保定,济宁,1,保定-北京-济宁,,740.0,36,298,334,0.05170262414455649,6.986841100615741e-05
保定,台州,2,保定-北京-上海-台州,,1764.0,15,121,136,0.05018476429347661,5.689882572956532e-05
保定,义乌,2,保定-北京-上海-义乌,,1671.0,7,49,56,0.019574869545844868,2.342892824158572e-05
北京,呼和浩特,0,北京-呼和浩特,route_0,507.0,30,652,682,0.07233137708755412,0.0
北京,蚌埠,1,北京-武汉-蚌埠,,1626.0,15,309,324,0.11020465796379603,6.77765424131587e-05
北京,芜湖,1,北京-上海-芜湖,,1571.0,10,219,229,0.07525685531486283,4.79037907796708e-05
北京,南宁,1,北京-广州-南宁,,2691.0,33,765,798,0.4492116270240136,0.00016693111372129827
北京,保定,0,北京-保定,route_0,170.0,17,379,396,0.014082459368067417,0.0
北京,大连,1,北京-沈阳-大连,,1072.0,17,391,408,0.09149331177314103,8.534823859434798e-05
沈阳,唐山,1,沈阳-北京-唐山,,883.0,70,568,638,0.11784625393402037,0.00013346121623331866
沈阳,杭州,1,沈阳-上海-杭州,,1941.0,77,593,670,0.2720412349137052,0.00014015519573091456
沈阳,苏州,1,沈阳-上海-苏州,,1868.0,79,596,675,0.26376371089120926,0.00014120113002741394
沈阳,淮安,1,沈阳-上海-淮安,,2171.0,12,76,88,0.03996473109552204,1.840844361838878e-05
沈阳,芜湖,1,沈阳-上海-芜湖,,2119.0,21,137,158,0.07003617886731592,3.3051523769379857e-05
沈阳,泉州,1,沈阳-广州-泉州,,3500.0,26,212,238,0.1742526537967938,4.978647251336965e-05
长春,廊坊,2,长春-沈阳-北京-廊坊,,1043.0,8,220,228,0.04974547188894688,9.538920784074185e-05
长春,常州,2,长春-沈阳-上海-常州,,2249.0,7,172,179,0.08421256313520897,7.488889562935435e-05
长春,蚌埠,2,长春-沈阳-武汉-蚌埠,,2592.0,7,167,174,0.0943449470391169,7.279702703635563e-05
长春,泉州,2,长春-沈阳-广州-泉州,,3810.0,6,154,160,0.12752030942920228,6.69397949759592e-05
长春,重庆,2,长春-沈阳-成都-重庆,,3197.0,11,292,303,0.2026374279220528,0.00012676723673572273
长春,洛阳,2,长春-沈阳-西安-洛阳,,2445.0,7,156,163,0.0833682849710747,6.819491613175843e-05
哈尔滨,呼和浩特,2,哈尔滨-沈阳-北京-呼和浩特,,1801.0,22,681,703,0.2648521101201465,0.00029411672417562076
哈尔滨,廊坊,2,哈尔滨-沈阳-北京-廊坊,,1341.0,15,389,404,0.11332990964173613,0.00016902298231429697
哈尔滨,合肥,2,哈尔滨-沈阳-武汉-合肥,,2795.0,14,369,383,0.22393139507762402,0.00016023713422370233
哈尔滨,杭州,2,哈尔滨-沈阳-上海-杭州,,2549.0,27,869,896,0.477762704702416,0.00037486285186537154
哈尔滨,嘉兴,2,哈尔滨-沈阳-上海-嘉兴,,2474.0,10,256,266,0.1376625251154973,0.00011128740914753217
哈尔滨,厦门,2,哈尔滨-沈阳-广州-厦门,,4039.0,15,369,384,0.32444379828947906,0.00016065550794230207
哈尔滨,郑州,2,哈尔滨-沈阳-西安-郑州,,2848.0,30,899,929,0.5534649188407282,0.0003886691845791631
哈尔滨,信阳,2,哈尔滨-沈阳-武汉-信阳,,2630.0,12,300,312,0.1716503692671034,0.00013053260020312043
哈尔滨,贵阳,2,哈尔滨-沈阳-成都-贵阳,,3828.0,15,460,475,0.3803644662649582,0.00019872751633487887
